id,Identifier,Open_date,Account_status,Alternate_identifier,DVP_or_RVP,Last_activity,Account_open_method,Balance
0,9943,2056-06-14 16:29:49,iZ9e5obo,3394,true,2039-03-20 16:43:44,Gwcr,-5408.46
1,688,2052-09-26 05:27:48,y,-7192,false,2030-02-09 08:28:50,Nj5GwSRTP5,-9218.9
2,-6603,2045-07-30 09:40:02,AqFXpxcGh,-7157,true,1987-06-25 15:56:35,KCZEKihrMd,-8532.72
3,-615,2050-09-17 10:12:06,h78w15GUd,-4689,false,2059-04-08 12:49:19,C9,1786.11
4,3995,2049-06-24 14:04:39,WH,-1716,false,1977-03-05 10:30:29,8vNW,1731.1
5,8068,2042-06-16 08:19:14,TOnoxaEV,-3044,true,2015-03-03 20:28:27,GCEKllLg,7917.72
6,-1438,2062-11-27 07:45:59,uC47,8989,false,1985-09-01 10:35:32,ne,8067.59
7,1473,2069-05-11 11:11:27,9kz,-9819,true,1975-11-14 05:18:33,Cs0gVP,1026.5
8,-8598,1975-07-03 07:43:38,VbHs4,5109,true,2054-07-19 18:59:43,w7a1o,-7852.69
9,196,2049-07-09 03:04:21,xeyXQ,-7516,false,1987-02-21 10:14:14,pym1ONheIO,-2242.79
10,7270,2019-05-23 21:06:46,q8,-8801,false,2061-01-10 17:06:54,MdCI2yE0,-8560.51
11,9345,1983-08-12 08:00:38,4f9Kac,1627,true,2039-04-27 12:03:24,iucCYP,-6864.17
12,-9628,2055-12-09 09:12:07,O,5251,false,1976-05-12 07:56:02,z9nvydKU,-756.95
13,-7354,2022-10-24 15:18:18,D4d5Ka,-2870,false,2041-04-19 19:12:42,DzwQVCgk4,4701.32
14,5443,2051-07-05 13:23:03,G0qeJCKWo,8504,false,2068-05-01 19:15:01,oiuaB1ysV,8374.67
15,-2102,2062-08-04 03:57:36,l748Gv0,-809,true,2003-02-21 11:29:35,a,-3358.73
16,-7380,2031-11-09 19:41:25,hWlA,7576,true,2051-01-09 15:19:50,q,-3074.23
17,1541,2044-08-23 14:10:13,Bj0XAdqfOR,-5294,true,1978-10-10 11:57:33,MAB230q,3581.38
18,8372,2069-11-07 15:39:19,MnfY5B9Pcz,2561,false,1987-05-10 20:00:27,4R2KMH,7289.59
19,-3546,2004-02-19 13:57:43,m,-5195,false,1976-04-30 18:31:22,CyqaYqGG,-4521.99
20,-9800,2025-12-27 18:14:43,SVUMFwg1fi,814,true,2032-12-07 15:44:29,J2wrL1z4s,-3146.22
21,-8635,1994-05-26 12:50:32,eY2bhORS4,3206,false,1974-06-15 22:04:02,ltdQAQj8U,8192.71
22,-4857,2047-10-08 22:26:14,tukJ0cv,3462,false,2038-06-09 16:29:27,ej6,317.14
23,-457,2039-06-02 23:16:12,Gx9,207,true,2041-01-05 11:46:45,wTMI1jkoS5,-2957.57
24,-9979,1994-11-29 00:36:05,PCQj62,4467,true,1988-09-22 18:51:51,2ALYJ,-4806.03
25,-4858,1996-06-11 03:24:32,MNvr,5654,true,2009-12-03 20:54:45,mTyxpYXD,9878.26
26,921,1975-04-14 02:13:47,smT1x9zK,-9392,false,2042-06-03 06:38:07,tGub,-1161.91
27,1631,2067-11-19 20:59:36,hfdgEK,-860,false,1971-09-14 16:27:09,INiiu1,1868.65
28,6876,1993-10-12 19:44:57,MvUxd,4762,false,1982-11-01 05:43:18,snW5dvgH,-860.442
29,-2774,2033-02-27 13:08:58,NoHsLJlUQh,6355,true,2067-09-05 12:53:01,4B1G4,-828.324
30,-7733,2064-05-18 19:35:03,ZooKPs,-998,false,1975-03-13 17:07:11,ZoMUZ2E,-9251.44
31,4381,2007-08-07 11:24:33,x60,9023,true,2029-02-25 14:04:43,I949CbPCH,1101.19
32,7223,2019-01-12 11:17:19,UZozf,-6531,false,2032-06-24 13:44:25,QgEOAjhY,-4667.23
33,673,2007-01-30 21:48:22,7mVq2veWQ,-3888,false,1999-12-28 21:53:08,wikSRSyv,-4658.25
34,7606,1970-05-28 05:14:42,0Tzc,6392,true,1974-07-23 02:39:03,fWn3VSW,6886.6
35,8404,2024-05-20 06:41:15,pemj9aRB6,9062,false,1982-02-10 11:25:37,eSztlo3,-5423.73
36,3282,1970-07-20 17:50:38,b,1668,true,2048-05-31 12:53:35,A,9519.78
37,8031,1989-02-09 09:05:53,I5b44sSnjY,-6640,true,2023-06-17 15:58:48,aDCF3tk,9608.24
38,5431,2028-02-04 17:34:18,tr,2271,false,2047-07-27 07:37:23,jZZa,-741.598
39,2710,2062-07-09 13:52:46,sR78j,90,true,2023-12-29 22:43:23,o1RwVOr0,3449.4
40,3736,1980-02-22 23:41:13,8DO06ukRy,2451,false,2032-07-12 10:23:24,gqyNFx,-5049.47
41,-9784,2020-07-31 19:18:33,hCLgqw,-2394,false,2038-09-04 06:34:13,jY,-8851.06
42,-6738,2033-06-09 14:48:22,c,-7149,false,2064-08-11 03:56:25,VFENG4ae,-5847.49
43,8346,2012-03-26 23:02:20,4i,6697,false,2054-08-20 07:17:47,1t47n,5456.69
44,-1857,2056-12-06 16:30:21,p,-7064,true,2032-03-17 14:38:03,rKU,7628.57
45,6259,2061-12-25 14:47:16,BVi2,-2797,false,2055-01-11 02:38:54,3NPK,-683.391
46,-8353,2029-12-19 13:18:51,UTmIwruz8,-5870,false,1971-08-02 06:48:50,BmT6T,2007.6
47,5680,2027-08-18 13:42:50,zG2VM4bwwA,-2267,false,1980-02-17 23:04:28,L,4458.3
48,-6469,2042-05-06 13:24:29,VRkyHoELcI,9746,false,2069-03-05 01:28:53,gReJPwwH2,5216.86
49,-1532,2034-07-22 07:34:40,CBohH,-9937,true,2049-03-25 09:53:25,w75dmi,7660.57
50,863,2012-08-18 01:11:28,7hDCWk2s,-1117,true,1984-09-20 14:02:17,lFgd,-655.084
51,-3704,1995-05-10 11:00:52,yrrMss6E,-7363,false,2051-10-22 18:36:25,RLZ,8776.99
52,-2359,1973-07-19 22:32:18,zOWU,-8246,false,2017-01-22 20:28:57,HzxWWRCHPb,2386.68
53,1161,2057-06-09 19:59:53,WR,-9787,false,1984-03-29 08:07:51,fR,2291.85
54,648,2037-03-30 18:04:53,TkufR,-1628,true,1990-05-22 16:24:11,x,7858.02
55,8786,2026-05-05 16:28:20,88,4176,false,2069-06-04 02:28:11,vdNUH3Mip8,3030.9
56,-7125,2007-10-13 08:38:44,pUeQpwY5j9,-1697,true,2013-07-25 07:14:57,CsfoN,-1341.23
57,-2849,2003-12-03 18:47:57,3gfO,-4094,true,1972-05-31 17:32:12,kTObVAfT,-1077.66
58,8437,2014-03-04 15:57:19,WGo,-9062,false,1983-06-25 16:19:22,lxMLa,-3160.94
59,-7108,2013-04-29 06:28:02,qGKf,3847,false,1985-01-22 14:44:58,amD,-5276.01
60,-6863,1992-04-06 00:01:10,E,-6601,false,1972-10-31 18:40:39,MbYsWqlu,-6769.78
61,-3151,2017-08-04 17:31:54,yNFquB0,4241,true,2031-11-07 14:55:39,FODI73t0,9655.92
62,2166,2069-09-11 17:00:38,D,1313,false,1984-05-20 06:21:06,3Q,5022.42
63,1587,2054-11-19 09:43:53,uZ337cWqK,-7971,true,2051-06-14 22:36:32,3FH,3369.12
64,-2428,2032-04-26 19:39:04,Xl4NL,915,false,2052-06-07 23:41:33,l4e0qYn9tB,-1763.34
65,4756,1997-04-16 10:35:09,TFmefrUv2,9015,true,1994-09-17 11:38:58,W3LwE1Oz0b,2619.18
66,9618,2044-12-05 21:16:14,P,-2895,false,1974-11-24 18:14:38,9mmJ8s,-8574.01
67,-3297,1991-12-31 18:01:30,wRp0g,-8559,false,2064-10-13 23:53:52,ovrXn,-5498.36
68,-7046,2069-06-01 02:43:16,8Y5Pob,5250,false,2001-12-07 11:03:27,dG1,-2026.82
69,-2378,2001-11-06 04:19:49,A9q1l7pEL,7250,true,2011-09-14 13:54:06,PXHZUy,4947.64
70,4721,2009-12-28 20:57:25,WluNxtTf,-8087,false,2017-05-20 10:42:01,kJx,-5597.43
71,3428,2041-05-24 02:10:46,2R6ednmz8,5696,false,2057-07-28 13:21:49,Olhuw,-3211.67
72,1093,2064-10-25 10:52:15,qFWk,5489,false,2047-11-30 09:30:13,qL9tyd,-9170.5
73,-3563,2062-07-07 18:36:23,SFfq,5355,true,2061-12-19 05:25:05,2bDkL3OB,241.22
74,2349,1983-07-10 00:59:49,SsS0qSg,6965,false,2053-01-07 01:59:15,ev,-8711.87
75,-868,2012-02-04 19:11:20,t,-7489,true,2038-03-28 19:37:04,mumeoXXWYC,9469.75
76,-3102,2049-07-08 02:27:19,Ve,8816,true,2056-12-16 10:54:04,GHBBuJ0f,2009.78
77,6292,2059-02-12 16:51:43,MQzCHwPf,-4098,true,1985-08-28 09:17:23,wT4ciPCSE,-8563.5
78,-2065,2058-05-18 18:11:44,R,-4357,true,1983-07-13 09:27:30,DeEAIeT8,-6763.05
79,6897,1990-06-04 09:45:09,dlCApBACx3,5006,true,1976-12-06 13:42:53,EKE0qkq,-6415.83
80,3008,2052-08-08 00:36:09,OJSkjU75I,-1193,false,1987-12-15 03:01:16,ecQME0EiR1,9949.7
81,1640,2011-04-19 12:45:41,cvQsIAVgu,8467,true,2051-12-26 09:02:53,H84qYRKsN7,-3824.15
