Account,phone
25,21
44,222
56,285
70,244
26,192
158,192
169,198
101,275
100,270
161,218
80,113
185,96
22,181
64,161
186,293
8,37
22,52
10,214
8,49
191,262
15,125
110,99
59,274
43,217
64,43
117,99
145,81
117,198
103,100
157,275
66,297
23,258
2,134
166,229
5,52
128,286
140,81
35,122
24,299
56,142
180,8
177,223
87,63
170,4
181,118
195,137
48,188
47,29
40,79
147,0
129,203
146,210
113,299
171,32
49,191
199,122
148,134
146,276
146,8
37,6
0,280
104,264
78,114
8,112
29,156
24,103
153,102
161,109
148,298
162,98
56,59
6,195
129,182
197,183
69,198
78,179
156,15
178,149
117,79
30,112
82,269
13,263
145,17
101,290
45,287
65,175
91,141
195,249
35,251
187,120
123,186
12,131
2,64
35,82
164,241
6,88
151,299
149,264
158,150
181,141
82,61
102,125
96,111
26,188
10,49
174,26
166,77
100,40
142,65
100,251
193,229
94,19
30,80
22,112
176,217
96,297
156,239
109,44
153,71
96,110
69,82
32,10
110,137
10,178
83,245
62,0
92,247
183,218
10,19
70,240
145,117
99,133
101,140
19,46
25,258
117,84
42,255
70,121
143,39
152,27
38,123
161,15
52,117
64,194
149,217
126,187
147,64
17,182
77,115
151,152
143,29
145,88
116,297
123,106
81,61
135,34
157,154
79,128
154,229
40,184
79,71
79,193
58,278
126,98
141,81
70,226
94,291
28,47
85,116
56,287
160,277
7,101
174,173
49,198
154,111
33,200
118,146
33,53
58,190
160,148
56,215
70,245
55,145
46,212
6,202
192,157
148,111
4,153
70,268
4,98
63,273
29,159
42,125
47,222
98,262
53,90
62,141
66,37
44,38
36,25
77,30
98,92
26,93
68,197
130,82
154,297
144,9
188,62
39,265
197,262
193,264
47,54
181,58
165,51
76,264
74,293
17,69
130,46
133,287
44,118
1,278
177,144
49,199
175,200
193,157
98,139
152,41
31,231
176,189
89,183
91,269
156,274
127,185
49,296
169,85
28,258
163,44
75,45
162,273
0,111
70,90
95,92
85,284
197,128
70,44
194,71
40,253
79,226
5,149
117,100
162,181
45,50
26,272
154,12
12,99
189,188
118,282
140,243
1,93
152,13
178,256
54,64
73,82
100,152
0,78
71,194
12,104
166,60
59,61
165,45
147,138
116,43
121,106
15,149
100,207
172,227
48,0
186,6
27,285
138,16
95,149
173,104
16,105
178,189
170,113
12,147
42,35
126,46
98,163
85,225
77,8
195,87
191,156
71,157
11,235
65,197
47,179
124,97
183,295
95,261
73,232
56,51
168,79
54,134
35,98
182,11
58,121
160,206
16,2
51,60
124,77
142,140
93,8
126,109
123,201
149,159
10,228
102,67
30,142
13,45
45,286
51,215
158,162
186,155
9,109
74,252
124,227
44,69
104,173
40,155
155,234
199,105
125,21
65,51
40,243
7,176
71,72
102,31
119,262
149,8
34,5
102,13
145,155
81,183
71,33
8,96
83,79
130,61
13,160
72,21
161,34
47,66
72,16
22,80
64,126
103,237
0,226
193,187
68,235
197,87
174,43
91,178
101,146
188,202
3,210
88,33
88,254
104,101
0,39
67,194
102,28
18,91
172,43
70,246
70,270
111,136
114,40
128,247
74,112
67,160
184,197
74,221
157,89
199,40
29,9
59,151
104,21
40,138
59,247
18,75
186,169
189,142
154,1
118,58
59,95
55,217
71,138
90,266
187,23
92,148
110,192
179,26
17,153
64,213
180,53
164,163
78,135
35,207
163,86
7,275
188,132
166,297
152,264
164,79
163,254
50,41
3,272
115,24
107,224
10,38
14,217
35,81
189,24
81,230
89,15
123,263
6,5
35,232
71,184
118,250
121,295
174,282
105,3
87,182
84,191
26,31
151,252
135,108
73,103
87,81
113,292
45,217
133,140
19,221
16,249
135,76
79,6
77,117
16,258
60,118
80,124
177,81
39,173
137,108
110,72
148,142
174,155
100,169
88,220
151,16
75,269
23,79
120,97
48,87
50,115
185,183
43,61
75,249
161,12
191,128
32,66
49,121
133,5
192,27
161,110
103,71
28,189
160,38
173,32
191,266
38,198
135,262
65,208
47,11
152,201
24,105
136,12
21,28
77,42
127,106
5,3
105,187
139,201
149,242
123,196
90,239
71,261
13,230
71,216
115,263
