Account,Trade_execution
94,374
166,446
199,378
81,291
91,242
96,120
72,416
143,117
166,117
171,477
63,165
72,120
5,255
119,365
125,450
149,466
38,308
154,115
182,490
93,495
127,315
89,354
105,46
6,139
88,400
181,225
6,218
10,65
91,87
33,87
135,111
96,74
124,192
89,220
69,45
8,37
35,191
105,285
143,232
154,289
179,276
118,211
10,64
184,368
73,408
78,257
129,247
42,187
195,230
183,174
32,321
30,155
136,54
168,267
33,484
151,410
44,418
33,226
174,295
76,321
80,101
95,208
27,80
30,269
25,12
143,354
54,492
170,28
47,3
45,19
85,25
120,268
56,397
149,417
132,166
1,437
68,432
109,100
175,273
70,323
134,69
139,340
9,154
6,343
93,281
43,210
164,414
199,270
67,331
159,161
199,281
131,113
18,81
8,235
161,123
61,182
115,344
112,91
66,262
73,451
153,345
162,20
177,220
89,226
194,399
22,289
12,332
155,448
14,212
66,216
115,341
118,340
61,477
188,27
164,436
44,357
85,410
58,479
116,474
126,181
110,472
89,131
103,126
137,81
137,0
120,81
54,123
194,182
22,467
72,109
22,202
59,475
190,343
114,71
91,252
162,274
167,315
193,288
128,79
129,87
55,4
93,15
55,229
130,337
33,159
81,23
57,148
143,7
153,44
146,335
41,383
123,172
109,74
88,358
178,300
193,33
30,287
91,60
182,420
30,270
34,200
134,64
144,301
195,415
117,377
18,103
158,116
142,290
51,35
182,125
147,275
172,360
189,12
31,392
117,269
127,182
42,417
3,258
174,206
15,53
155,137
127,121
71,130
165,251
195,341
129,161
55,172
124,393
84,36
182,67
101,146
141,393
149,291
21,86
150,276
199,183
108,378
38,293
98,282
181,2
199,406
68,97
44,75
144,348
77,224
101,325
98,253
122,320
160,255
73,443
12,381
136,351
54,425
76,429
172,8
146,497
102,199
160,319
4,147
76,3
165,194
52,194
179,361
30,150
34,380
193,221
17,244
72,154
133,208
30,414
96,80
111,21
65,101
26,458
75,99
168,305
105,111
97,109
142,144
126,189
181,131
166,213
152,109
18,248
5,393
10,210
66,255
118,364
177,312
142,287
70,415
69,409
179,386
10,179
27,399
98,113
0,323
174,211
157,153
96,499
98,422
29,87
34,345
88,6
85,381
0,495
24,219
163,126
76,35
15,63
187,151
176,382
190,278
5,314
165,302
139,254
102,66
28,484
44,358
162,386
41,32
138,232
188,383
83,23
119,102
112,483
162,114
68,195
112,409
40,167
149,225
118,245
16,412
15,91
123,219
175,83
145,259
191,19
181,485
163,166
21,40
62,141
37,306
3,233
34,457
47,96
124,234
193,125
84,275
162,423
108,240
166,425
52,63
137,322
131,396
104,346
30,140
124,330
4,121
61,84
55,210
195,116
197,123
158,459
17,131
45,61
180,201
129,4
164,179
138,489
169,126
107,4
199,213
20,483
35,64
153,128
68,145
177,309
61,36
186,68
40,411
149,228
78,290
14,143
58,290
117,426
120,192
41,498
114,80
41,282
159,154
172,373
54,467
74,186
139,368
191,117
121,95
59,341
113,444
113,262
50,124
120,433
182,274
8,467
198,13
175,386
184,268
5,457
164,63
44,318
165,418
120,450
166,359
187,403
54,386
28,216
172,40
7,204
99,474
145,6
69,400
149,40
186,75
55,354
168,99
194,163
3,302
40,104
61,470
50,140
116,461
159,73
17,446
10,270
151,129
152,298
80,389
55,355
190,269
111,140
7,470
11,270
5,83
34,84
35,142
138,185
124,485
50,8
170,406
123,191
194,470
57,82
104,169
111,269
23,390
3,73
44,149
183,175
22,76
140,91
116,165
4,186
123,292
35,437
190,445
154,394
147,2
54,155
52,79
101,175
177,165
68,404
8,256
19,436
62,286
132,423
87,267
30,445
97,241
58,366
88,216
27,494
105,316
50,425
29,134
170,205
96,468
195,78
23,181
156,132
100,218
71,174
134,246
138,157
76,292
41,472
42,367
193,175
110,389
18,220
91,408
121,432
166,422
102,388
140,157
120,403
161,240
0,363
37,16
141,172
125,99
81,352
2,256
153,96
193,439
46,371
121,287
33,125
171,350
93,378
62,152
78,493
188,421
103,137
73,460
99,412
45,303
122,367
184,196
91,151
110,306
186,128
88,296
74,164
6,82
197,110
15,262
78,432
172,474
112,133
