Customer,Country
50,442
126,264
125,188
5,26
122,146
136,478
145,210
59,405
0,309
49,351
100,291
109,65
55,202
70,456
129,308
132,174
135,431
82,435
42,57
99,187
30,330
31,471
69,472
16,186
121,390
90,54
18,260
98,282
148,406
54,85
89,457
140,441
104,353
94,308
42,40
126,76
86,60
60,461
10,148
22,38
38,225
10,123
30,192
81,184
35,5
39,436
141,439
77,415
7,10
111,93
79,143
12,200
117,45
95,71
99,209
3,269
80,231
65,377
50,72
6,22
19,193
113,51
16,39
138,394
6,453
27,419
17,94
50,23
65,225
99,397
51,47
23,198
122,457
128,416
31,175
134,186
66,431
5,30
42,324
123,302
19,494
103,274
90,345
126,146
23,92
55,147
48,98
78,36
87,258
76,389
124,84
76,212
7,208
140,145
149,243
133,171
145,130
30,329
98,9
43,210
2,409
4,141
108,163
139,417
37,211
112,307
136,290
9,367
71,211
42,469
133,348
54,40
118,497
113,63
55,400
131,466
9,390
62,245
1,326
0,78
8,307
109,34
49,317
143,178
112,99
81,229
47,67
119,24
43,9
149,4
44,257
34,124
81,420
54,247
76,367
44,193
72,250
53,44
33,341
131,68
145,67
95,274
118,412
64,294
121,266
133,65
131,118
111,324
50,323
69,302
3,230
61,100
30,387
145,372
149,164
47,246
142,422
81,453
126,234
45,45
20,492
53,357
66,435
70,87
28,180
18,470
57,244
138,357
128,213
144,177
18,267
2,328
86,273
141,272
63,464
105,453
82,288
124,144
39,118
17,405
26,498
67,157
36,157
76,210
108,263
58,285
20,472
82,312
81,279
72,2
114,497
113,294
101,302
73,104
112,36
21,79
3,317
31,429
14,85
102,40
46,105
3,334
6,204
9,153
124,108
14,235
80,149
69,239
46,481
66,446
57,339
96,423
7,420
62,45
73,407
130,0
86,233
43,13
124,201
27,65
25,65
29,178
134,238
124,158
9,111
34,145
109,415
40,445
18,370
123,67
98,68
32,306
136,163
124,224
3,343
127,150
144,337
5,91
137,283
61,388
20,440
134,298
78,245
22,302
123,278
69,380
141,418
91,21
122,456
91,98
81,463
66,477
72,342
108,335
118,479
23,476
61,400
104,330
36,53
101,49
99,15
82,18
118,238
66,474
38,403
87,490
132,121
20,240
80,294
88,75
86,252
82,490
49,422
100,418
112,122
50,343
82,20
59,211
98,124
29,183
19,27
107,115
71,28
75,343
124,175
54,370
23,34
5,269
113,48
31,249
67,102
126,109
60,144
145,478
120,461
40,290
119,262
134,59
98,26
129,185
21,176
52,431
34,69
14,323
119,86
110,156
59,458
79,179
141,14
134,414
118,393
10,11
66,285
61,301
56,44
101,475
108,160
1,162
144,342
58,203
31,216
48,134
54,147
79,338
49,310
4,269
39,14
122,179
125,229
43,256
138,134
12,284
93,281
12,374
138,170
68,310
4,438
124,78
148,64
121,443
120,88
87,379
63,135
106,463
119,299
69,422
22,63
54,190
68,85
86,174
105,460
14,370
129,429
133,319
14,461
138,9
24,35
44,392
13,166
107,130
90,494
148,187
62,170
102,357
1,227
39,450
66,244
35,203
32,232
50,222
45,328
54,439
122,224
56,65
102,426
37,92
89,432
130,244
96,293
11,457
130,454
146,70
123,344
47,305
148,197
105,39
52,50
40,318
14,268
139,332
16,207
48,458
63,180
0,471
55,298
7,427
63,410
110,409
117,109
66,198
61,47
44,318
10,48
131,157
31,96
92,259
63,374
9,65
74,353
74,372
34,230
59,198
31,149
79,96
131,0
130,309
127,317
51,331
32,154
89,94
98,243
78,151
72,236
34,483
66,151
103,89
149,325
123,44
33,478
102,96
92,5
101,479
18,178
45,124
110,335
114,368
78,127
37,79
64,141
91,315
104,414
119,246
132,366
98,467
117,44
39,424
76,46
72,319
6,318
83,334
69,245
141,134
2,441
40,46
59,338
115,389
121,347
76,23
1,410
34,177
118,237
68,357
42,51
143,89
147,294
48,1
75,442
78,484
68,69
50,194
62,457
3,495
135,137
4,191
57,139
124,484
85,490
39,359
65,318
59,245
108,300
122,141
137,176
108,318
11,140
71,428
34,249
44,219
75,450
23,10
94,195
37,86
76,401
120,346
73,316
43,242
12,136
27,436
46,311
95,276
