Customer,Country
50,143
84,382
53,170
91,401
41,331
71,252
48,66
60,136
50,386
49,197
122,336
76,226
8,31
36,246
4,348
93,261
12,44
74,97
52,448
62,20
28,342
82,453
4,143
118,277
29,195
56,187
45,57
0,201
101,254
13,457
69,410
38,491
63,301
103,340
130,458
127,163
20,471
8,34
91,423
120,244
9,487
5,275
14,335
125,347
3,47
101,100
68,288
60,473
23,225
99,256
44,286
35,125
2,2
13,29
84,402
133,212
145,155
46,405
49,383
76,32
112,476
58,245
87,384
75,485
20,78
115,354
134,335
75,33
43,7
41,151
85,473
118,144
56,279
74,368
40,165
97,154
55,60
1,9
129,2
12,267
88,207
15,227
30,111
146,356
92,62
47,226
82,218
84,343
61,487
91,82
55,253
61,71
4,176
96,265
118,280
105,153
116,231
90,195
13,21
122,331
116,406
51,151
11,190
127,275
31,308
142,122
73,177
8,273
52,161
73,76
147,199
78,174
55,45
28,6
99,155
132,378
1,245
24,171
63,251
138,492
19,378
49,433
107,497
78,360
71,183
130,398
120,237
100,408
53,324
69,27
56,106
61,42
10,209
42,179
56,411
77,86
26,147
138,378
75,415
1,21
0,361
141,99
102,107
3,336
112,440
43,64
58,39
130,346
26,422
49,369
71,93
111,105
57,141
94,286
122,414
16,354
12,314
28,134
113,464
145,116
52,386
109,220
104,479
43,99
118,54
19,5
130,64
7,191
110,52
71,27
111,135
19,120
126,53
123,319
55,438
138,328
18,22
31,401
34,85
74,218
51,220
83,146
37,227
148,261
57,77
113,440
7,375
119,483
54,493
29,74
17,109
148,201
141,50
64,289
101,486
121,435
124,155
84,120
65,314
53,293
124,310
20,259
140,450
62,37
98,318
122,238
7,7
81,228
126,269
118,404
7,458
23,266
57,383
125,303
94,276
70,141
16,334
10,173
36,352
12,392
64,464
67,210
47,414
54,450
141,416
70,289
145,140
47,452
98,391
91,361
60,386
87,298
5,402
18,62
103,406
136,152
3,194
18,3
39,248
141,288
59,220
112,295
42,446
18,106
112,354
105,213
97,266
118,454
8,68
115,394
106,373
47,99
59,441
58,436
65,469
10,44
11,468
90,463
38,129
143,249
134,249
12,57
114,415
35,388
45,399
69,444
57,112
83,461
10,2
147,426
105,281
43,417
6,353
146,167
28,120
67,176
84,367
48,451
60,105
9,467
133,274
7,54
116,93
23,271
95,73
131,206
100,15
19,362
42,402
7,21
13,52
32,99
14,478
114,456
132,173
90,225
48,108
94,187
5,283
105,225
118,125
17,480
16,286
136,61
1,24
113,89
12,366
136,432
95,479
103,29
13,433
122,310
1,462
98,37
98,371
24,437
34,464
135,416
119,375
136,105
76,156
86,215
139,296
144,152
64,51
122,244
113,427
86,120
142,461
35,207
85,191
29,178
116,367
127,447
3,439
80,491
8,222
41,130
138,9
80,463
84,158
56,275
49,255
8,483
15,198
112,43
37,496
96,257
116,133
107,67
32,403
83,168
18,334
67,118
58,309
96,136
15,464
97,451
136,377
12,434
100,128
63,420
31,271
83,350
80,5
22,82
27,180
129,423
99,455
138,334
14,149
94,230
91,432
97,100
86,477
107,260
37,225
18,360
123,48
27,133
15,366
2,368
50,118
120,123
0,449
85,139
116,26
123,239
58,12
132,271
122,366
8,215
87,387
41,136
145,469
7,484
23,291
124,47
1,457
67,135
75,227
113,492
117,421
99,273
111,204
4,446
85,171
35,465
33,299
57,400
56,116
120,201
97,365
48,463
107,74
121,255
148,492
22,289
45,202
88,350
116,97
16,387
25,127
105,326
14,128
70,130
53,242
42,326
12,151
139,242
43,98
52,77
3,280
127,18
25,227
123,43
124,268
110,481
65,218
24,130
138,68
37,458
96,418
83,109
64,176
77,78
76,340
68,426
29,119
53,75
49,6
48,387
17,227
26,324
47,16
122,159
56,42
100,123
133,61
145,340
137,298
69,451
82,385
5,257
129,205
149,454
80,16
28,102
100,251
50,183
17,244
2,336
25,480
9,402
60,340
63,41
11,425
80,325
131,36
91,241
141,383
92,275
118,140
45,48
86,334
133,476
105,57
96,58
8,193
101,330
44,263
119,33
44,267
55,167
110,381
91,125
108,106
4,442
72,432
62,92
