Customer,Country
128,118
136,129
136,354
148,128
63,400
77,231
38,272
56,334
140,401
25,21
124,268
28,454
95,18
147,73
59,88
17,343
61,240
95,35
21,379
104,337
1,239
107,463
57,410
65,237
54,57
34,479
49,61
130,40
143,262
106,446
25,36
61,415
131,472
70,224
86,498
111,487
59,164
11,137
16,432
52,380
116,41
130,320
9,40
34,438
118,451
109,477
56,27
37,273
6,199
94,231
7,43
37,112
79,54
18,129
145,482
84,270
122,33
83,101
137,258
142,481
10,50
10,292
26,382
20,231
147,228
47,294
95,121
69,173
93,384
131,247
63,105
99,13
110,429
97,48
42,410
31,451
24,269
75,393
136,170
100,60
82,237
110,337
147,441
98,231
60,440
74,62
78,117
13,271
142,252
6,65
0,242
59,315
96,293
61,229
49,53
134,274
72,341
66,285
44,178
53,251
100,229
5,241
25,245
136,62
144,450
35,284
41,374
79,230
138,308
10,100
118,15
48,70
7,45
5,297
57,406
78,363
45,467
98,25
114,432
105,68
138,151
97,339
38,172
56,94
11,370
111,68
51,354
135,25
71,278
145,12
17,321
68,464
51,201
21,90
82,43
99,94
147,391
113,385
63,49
120,117
66,178
118,127
71,85
118,4
26,95
76,95
16,419
87,324
87,451
57,463
114,402
23,342
57,347
105,413
79,258
79,494
126,54
89,451
131,251
102,172
130,239
6,134
65,177
65,437
99,70
59,409
34,219
140,130
19,354
98,448
17,160
127,446
43,366
120,406
72,483
127,418
15,3
31,111
114,332
95,79
100,58
14,79
59,90
62,102
50,432
62,451
47,372
105,360
49,207
138,46
71,329
70,174
75,368
133,346
59,454
76,50
119,116
35,391
19,139
74,108
34,285
81,148
20,144
30,25
124,392
29,406
32,242
135,75
128,8
149,171
145,139
27,47
118,209
80,220
98,374
62,257
25,123
80,259
86,431
101,58
132,117
62,100
142,90
149,184
105,372
94,453
131,88
143,327
58,177
68,446
52,413
93,427
83,51
18,321
26,352
5,439
73,326
39,277
119,140
135,164
136,43
34,246
127,360
41,163
100,484
43,404
111,117
44,425
50,221
138,495
95,466
113,164
104,268
99,248
147,381
78,183
41,118
45,300
118,266
70,479
83,491
93,440
42,375
147,464
16,317
127,213
26,473
88,357
78,22
109,487
26,446
14,283
44,271
106,365
44,263
98,98
75,463
61,223
67,134
96,54
100,277
77,237
104,238
107,428
4,19
60,323
64,268
146,145
123,330
60,429
141,347
83,230
128,219
48,327
94,140
70,292
28,228
44,344
145,455
29,131
14,135
107,424
79,463
26,469
94,173
134,411
144,209
66,470
63,247
69,435
22,483
58,387
42,120
94,301
136,365
94,52
56,176
40,383
131,43
29,444
117,44
87,47
75,313
62,4
88,117
103,316
57,122
0,110
64,101
8,319
63,404
128,214
57,301
40,72
6,197
148,370
111,180
85,102
146,493
37,286
121,458
122,118
115,230
35,288
101,245
122,215
89,38
124,240
75,175
62,355
132,238
85,252
114,156
35,186
147,38
132,416
61,130
6,266
7,250
126,384
52,172
12,451
30,220
123,289
131,494
101,239
16,228
145,193
132,291
12,72
123,277
61,371
101,474
123,22
122,390
8,107
49,267
71,95
115,250
75,279
80,201
99,262
68,144
124,420
135,303
95,208
38,269
106,372
129,50
54,312
9,219
85,163
33,413
147,224
121,85
118,250
100,80
123,473
80,225
27,495
112,136
4,301
63,14
54,195
58,490
121,313
62,132
143,355
14,403
74,371
101,368
125,425
15,349
53,322
107,93
101,180
47,472
87,336
116,178
55,133
126,230
72,267
27,155
105,38
132,248
101,382
33,248
19,47
127,148
92,144
100,402
13,212
56,406
102,185
137,11
127,47
3,179
40,499
45,171
49,313
72,245
145,476
88,258
16,430
104,255
90,264
117,347
63,28
109,184
90,67
114,189
1,438
12,308
73,398
137,424
141,48
58,246
60,318
25,496
45,83
66,244
138,335
113,48
45,352
134,367
51,395
46,103
52,327
129,451
119,304
64,79
16,241
37,130
34,90
7,109
146,424
89,449
103,248
23,112
126,202
25,414
31,450
30,453
90,429
5,246
114,351
72,62
27,199
72,50
45,75
132,159
63,23
36,36
135,404
57,259
64,486
141,181
112,79
48,155
141,275
