Organization,Customer
379,108
294,62
470,113
224,98
269,40
271,143
363,80
406,3
220,69
409,76
324,105
393,55
188,58
26,134
161,45
391,59
276,3
335,83
351,102
21,137
442,70
128,76
188,105
79,132
432,54
9,67
269,60
145,18
78,100
375,58
170,59
82,35
118,148
26,5
234,141
271,93
55,35
105,124
121,36
335,130
118,85
413,95
7,146
176,37
449,2
12,140
394,21
198,124
221,29
326,125
396,55
25,1
407,91
318,43
270,40
280,116
256,98
416,148
464,141
74,56
198,113
254,14
427,27
255,43
269,140
260,27
56,9
410,64
474,46
366,19
119,142
206,72
427,115
356,111
364,116
297,110
16,127
20,142
376,144
126,81
288,12
396,102
251,38
427,21
483,137
371,29
361,89
102,67
260,145
380,129
388,62
184,85
202,45
443,76
110,2
135,92
133,110
166,140
336,38
228,119
149,131
233,27
84,135
253,144
359,8
276,56
380,68
302,127
197,66
357,75
264,77
474,90
44,129
311,116
257,95
288,28
342,117
199,146
350,113
249,73
239,135
137,137
106,32
292,16
305,69
440,12
458,125
118,118
68,42
368,113
267,125
52,89
93,133
194,62
262,61
256,146
486,140
167,40
425,7
419,8
202,39
356,96
316,89
221,30
406,124
262,38
217,91
342,73
230,41
128,8
218,41
6,35
162,95
169,65
234,92
473,9
40,21
392,33
330,18
210,28
169,66
442,119
326,144
483,122
219,108
166,12
355,138
476,88
177,126
167,9
195,15
448,82
10,105
271,98
250,116
447,70
210,11
370,132
317,8
137,103
312,119
215,104
331,119
222,139
100,39
348,128
483,142
83,36
441,89
317,16
213,32
0,51
287,97
35,116
104,69
124,96
499,75
380,31
497,140
283,128
88,144
217,69
184,68
126,128
141,134
473,139
263,20
287,61
306,1
189,40
182,57
297,65
402,134
46,43
358,118
255,7
207,55
309,10
218,145
26,28
160,134
117,2
318,136
372,147
61,25
196,75
256,81
477,149
8,148
468,133
21,0
203,25
5,75
422,13
284,77
388,15
199,78
397,128
399,39
213,34
488,68
73,5
17,146
484,66
408,62
122,46
488,5
180,132
353,101
274,95
265,47
182,98
428,42
15,22
396,5
311,96
346,57
306,60
391,71
88,11
14,7
481,133
453,91
40,134
275,135
140,118
178,34
464,137
328,81
37,17
278,101
78,30
354,14
170,110
213,149
196,37
395,69
436,41
36,0
149,128
143,52
141,14
36,43
14,140
192,52
322,74
30,90
86,144
142,34
333,52
375,72
247,4
305,22
175,145
261,2
168,55
67,0
209,41
454,114
61,34
496,60
423,99
115,149
373,83
210,38
142,25
61,84
270,144
349,26
498,31
208,93
349,110
460,101
376,113
214,27
219,41
389,138
24,43
417,88
279,123
110,145
278,23
346,47
324,89
434,70
397,135
441,133
440,80
456,85
125,17
139,63
297,19
407,27
72,140
471,29
178,141
147,44
14,15
67,85
436,62
119,78
105,83
270,140
122,146
28,104
455,72
56,127
415,81
365,8
51,90
322,85
418,70
48,140
34,128
49,140
333,87
440,54
91,51
395,38
248,66
161,24
382,62
196,54
101,101
415,100
211,13
142,52
10,70
151,142
21,8
143,8
148,94
471,89
142,117
33,99
299,66
71,64
115,15
284,54
30,50
409,49
30,116
111,5
369,40
78,122
176,29
187,6
116,105
312,75
30,18
337,113
162,114
139,33
455,75
335,129
332,95
24,147
412,101
454,6
432,53
402,149
190,110
294,12
76,37
402,108
419,39
66,13
493,117
358,99
103,17
191,39
445,63
474,54
499,149
283,58
438,33
207,111
456,77
449,126
405,86
64,9
126,11
274,57
265,127
11,29
62,15
461,64
14,147
322,25
109,16
374,3
465,77
499,58
264,25
471,94
415,103
100,7
45,114
281,49
333,117
233,74
77,42
103,136
307,64
402,64
95,126
246,1
471,103
54,98
451,101
100,144
165,3
352,53
168,115
459,115
386,65
92,54
267,136
405,110
115,96
371,11
490,26
250,53
27,96
476,58
450,131
445,96
327,72
32,41
73,26
22,56
65,140
412,146
137,87
114,148
424,70
231,95
165,124
306,88
338,98
236,18
383,97
488,92
310,12
222,141
151,64
99,48
344,19
404,101
170,34
210,16
132,129
293,59
258,3
438,59
243,69
24,42
61,7
227,119
227,104
