Customer,Country,Relationship_Type
77,115,Vp
18,22,3WRiFW
6,283,3k
137,407,D
34,174,EqtFSOm
78,303,6
113,156,mCWLLVHyf
96,131,h
24,458,ZyRb6MF7B
86,51,o7wwFmF1O
34,16,z3XcDAYr
105,118,qASdX7T9xI
29,186,PTMZlQ
27,146,6gD5jkoGD1
130,375,Ssayzel4gX
122,396,NevrgP3b
129,469,VAU
10,274,7zFt48q
5,94,50pVD4G
55,107,zjN
76,243,ag
18,25,LMqIp
75,488,iy6bT4d0W
122,397,P1pFp
109,214,aX
5,308,ZM9r6W
35,392,WxsFE
127,125,AM1
66,318,pQ
62,124,kei3loxg
45,43,h1FVsYmXT
90,316,hFnEGOK
109,456,1qvAAxSV
59,232,MgRji5
147,406,GIt7
117,179,dhIk0bkgW
129,43,XgP
87,31,7R2SOeBr
99,224,Du
40,385,sUHDgF
98,238,qKdCV4RjI
60,270,O
136,263,8Uc5cLbV7D
17,238,PE5aQJFrNj
114,254,t
87,118,Rez
81,343,aROPyupENn
70,357,05XTXb
12,160,ZNhxI
80,412,ORcW
104,483,R8m0KDtBn0
77,304,V
4,326,KpySR2TY
62,257,6oHUyZLUCu
57,461,ifdJhqQfU
25,473,LUo
17,5,2Jut7
53,407,l1LpA
89,8,a
134,290,LbYNvB
40,79,78HVPOkr1
85,446,f
56,258,xirRnaDyC
10,86,rEY
103,264,Foqa
90,61,fb7GaeO
122,124,p9
134,394,d0H3xjH
141,253,KQ49
12,178,QQ7ti
18,263,BeS2DQ
66,492,tM4Y75
27,392,Vk
47,293,DrJpbbY
117,412,XilPh2k5E
29,11,dQ
100,298,DW8
138,265,XS
149,25,zEd5k
123,419,35ngB3fN
99,180,5SLvxn
29,115,e
104,58,fRe8Xy
115,212,gScglTwf
102,7,sTo
108,437,1Z
126,170,ZZN0
65,120,yiP
112,86,t
20,104,cTk
129,170,4
90,435,4hMtlu7UM2
78,455,q
65,184,C8Fy4gGtJ1
12,240,saP93T4f5
131,254,oO
51,376,NcdHFf
1,242,e
103,440,Kzq536
109,417,s8Efpzlp
42,138,jI
12,324,6iYgaeLc
112,394,q3kyWvl5
23,131,3GKy
118,354,PXcA8xeDWE
49,436,JD
80,107,8IZC0e6
6,172,LE
124,178,U7JcoQ1Vh
64,385,F
114,314,L4
97,485,ASpSA
96,98,pGUwzke
65,234,20Cc23lpx
141,318,ZUv2CIzu
12,429,0t1
71,257,J92tj
103,61,NB4M2
111,257,zfqTA7b
119,282,pGRDLL
60,324,yVFJVSyhWk
37,136,oeJinXc
76,419,WDl5SoYeiX
85,74,zNw3
8,32,jz3
50,280,4nrqTq4TF7
39,269,wgH40fu2Jr
65,310,pWDENz4U
122,456,SSxDdiNwcr
45,180,HHRNGP
133,432,zHmVEXSJK
