Customer,Address
83,258
22,161
127,114
76,174
44,298
44,178
61,120
66,183
132,64
1,238
6,195
79,47
140,54
12,236
121,14
58,231
95,287
67,213
92,119
75,213
27,135
133,52
19,40
104,193
115,131
129,253
53,271
149,236
43,229
4,299
81,91
145,7
60,275
3,120
38,49
13,112
94,64
82,197
18,220
4,123
33,202
114,100
19,16
60,270
20,253
82,232
26,142
115,13
59,131
42,28
18,198
147,12
104,82
108,71
23,139
128,69
143,60
99,5
8,39
117,111
94,4
148,115
147,217
80,279
60,39
139,122
90,19
104,39
40,218
116,246
101,112
38,243
75,247
113,242
93,54
145,193
91,71
3,103
5,222
12,33
58,157
128,231
34,1
56,162
143,221
144,93
46,211
110,17
26,43
27,200
92,46
50,138
125,98
111,228
41,106
58,31
79,270
0,160
9,290
105,4
47,67
19,185
84,40
83,218
146,124
98,121
109,268
7,102
140,185
129,139
105,49
111,270
17,45
130,289
9,32
52,187
100,177
57,291
109,176
0,194
66,0
137,129
44,141
130,156
28,58
26,255
19,236
53,189
88,64
131,23
46,25
74,120
57,299
36,214
149,217
71,77
138,178
11,36
111,235
112,204
44,244
143,69
131,206
12,179
122,86
78,204
114,109
99,200
11,292
43,79
54,207
32,286
50,34
129,295
126,231
28,166
137,74
112,12
75,181
59,8
117,92
30,193
139,214
111,176
134,10
59,77
56,21
121,36
73,138
111,115
122,33
104,65
53,281
59,257
13,279
47,40
76,63
60,1
38,118
96,219
22,61
102,199
123,4
136,54
12,145
127,101
81,245
141,63
13,28
134,289
49,271
87,138
6,130
137,232
133,30
125,30
85,112
21,74
128,171
84,239
83,244
37,296
143,32
28,176
38,180
40,130
60,127
118,42
63,121
97,109
116,192
79,205
82,212
100,63
36,216
86,8
97,63
80,290
56,260
24,261
63,31
87,102
7,178
105,269
65,103
117,150
56,273
11,236
106,52
125,11
31,217
37,103
89,209
65,271
62,166
76,193
79,258
93,4
97,186
73,68
104,40
133,121
13,29
106,121
127,223
134,130
10,65
70,84
119,108
14,247
15,260
11,232
83,101
29,138
82,207
12,160
123,86
116,255
9,238
81,107
141,156
13,175
2,92
49,85
138,153
63,137
47,216
115,192
100,244
107,222
136,76
60,253
73,141
147,81
38,15
70,105
101,168
28,17
149,146
70,199
77,48
67,123
14,51
50,120
124,117
72,23
7,92
141,254
63,72
72,2
139,99
34,77
1,164
144,172
78,20
146,280
10,39
35,118
107,231
7,136
74,174
16,133
109,203
119,133
87,90
55,124
2,281
109,258
113,32
93,280
24,120
100,59
130,40
59,251
97,112
146,126
24,76
106,46
53,40
33,137
136,275
107,91
135,186
107,5
81,184
119,95
2,117
16,256
12,293
145,232
108,234
16,123
21,53
76,104
1,80
61,270
140,87
1,135
141,197
5,217
40,110
106,112
67,45
140,273
124,101
31,49
128,262
132,34
137,266
119,243
40,104
78,103
114,237
42,290
70,159
127,52
28,175
145,154
41,24
69,49
67,129
13,208
88,281
0,138
35,179
40,254
149,180
10,288
83,77
109,170
51,127
4,21
102,163
46,80
80,72
84,254
99,85
102,230
110,145
123,27
55,265
115,19
22,225
14,143
61,79
66,24
128,213
129,248
15,230
119,75
98,110
42,131
87,241
68,72
88,162
75,39
81,100
51,208
64,136
90,5
38,2
120,181
77,226
72,193
61,165
115,12
55,31
6,177
62,290
69,164
106,47
91,58
35,261
9,152
32,75
108,58
144,110
62,25
26,53
39,268
16,267
36,196
80,126
106,34
25,197
121,298
104,11
134,36
28,29
51,125
42,226
97,87
98,162
5,210
41,12
66,90
67,55
24,224
39,222
27,280
94,112
42,49
144,78
63,12
101,224
135,246
70,282
30,42
81,273
43,7
64,84
98,158
139,26
75,194
25,88
116,54
13,73
87,14
20,81
96,242
98,59
53,257
126,2
92,232
22,230
142,247
58,52
112,159
136,233
20,237
124,15
30,15
0,40
116,283
112,153
66,241
134,69
2,150
61,265
146,177
54,73
116,141
41,215
49,80
97,212
108,82
115,218
14,217
126,177
72,149
85,241
62,110
82,191
118,204
48,193
118,234
83,266
135,196
45,45
113,129
