Address,Front_office_transaction_party,Purpose
154,376,ID
97,372,KX
292,73,wtnd1cu
41,377,sarLcJP
154,360,dAppq3sfo
2,63,5YQEop7B
70,142,5AoFIb
169,301,TMy5ze
27,469,5iPB
49,286,xjIKf
207,216,ib
102,357,Z
183,407,zySZuPulVL
165,145,Xr05Ube
164,497,EA7GTF2CD
213,17,temj4Y8
239,374,6o
41,360,9zEM
139,383,tJjO
29,124,RGEilrZ
145,180,g97hi
202,446,h6t
211,248,BBuY
235,92,bK2ltomy
30,224,zFfJ
273,24,0ivhoPJz
243,438,kN
233,31,oSOdi
83,403,lkayKrNm
84,93,gVV
96,198,QGAPgbF
262,142,2
153,53,L
61,156,QfzOtBf
120,398,n
231,168,ur
239,12,zg
88,252,QUO8EBhl
292,489,Ke46
255,469,bytbT
119,22,S5x
138,443,AbtE87Rwh
66,247,Ggsl
221,460,RP
170,59,ZGET
265,64,ukRBg8gvO
167,415,2o
16,91,fYGI
148,37,fnihuG
281,428,Z3UnO3V3
179,143,XH2CpQoamj
277,118,oYUIo
37,57,vfSbaPJY
250,19,x6Zt
142,350,ajdQgvN
167,400,gtcOGybfQq
41,483,myCpGzGL
225,195,9KJxydg3
249,62,G
23,164,2K8uazy
1,146,HenbtG4
14,380,iQvEt5ro
266,299,1IvotxBWE
194,153,q
89,133,Ibd9u
195,480,8hCtnrk0
189,32,HKUO1hkHm
17,341,kHm
202,312,QEMHy92tvX
33,264,FmLNWwg
79,108,XqILf5
188,312,m
282,127,MS6uKP
197,374,bw
62,106,DHqQwk
112,342,F
278,191,vBpEpPoh
130,494,B
198,68,HgvAM5VTW
135,260,Tv2jwsD
273,182,O05
221,12,v6Kzy1RK
92,452,qj
139,439,x8
11,11,kGuHm6IM
178,60,pKjuwwzIB
67,228,0MNNS8
240,152,2
128,79,bIq9wmyRBw
165,450,Zndez6D
239,67,IE
199,336,iZkXom
23,21,Bm
237,65,FULj
256,350,HT
62,486,dZISV30foJ
9,417,x2WW
38,159,iAEMW
246,470,ZTvm
248,287,J2tlFZ
1,364,ny
205,292,a32WGJOP
188,365,kA4SLLor5n
7,238,Af1e0aFB
287,344,Vgqo
14,64,y9Pl
141,425,6
185,106,wF
147,337,Z
146,365,8Erc5GtSU
292,329,n1PvAJ
26,266,BQKRDMA
217,471,GoKO8L
30,2,sm2
47,321,Ihz4WnH
101,118,lAc
152,79,tBBZf6iG
156,483,qCZh6C
255,75,Iz2SP
60,14,UAJAOIdFm
285,246,S
137,187,zMUpGRS1YY
282,67,BKgIektku
51,350,PXzYEIR
189,418,oSl7YP1
56,43,7xlXvlvAK
275,450,h2s
277,221,V9g
49,311,jgnr5fZ6
109,251,mJolIb
65,276,LRz3pLaIh
89,313,5o
47,435,IxYiE9w
39,40,G
69,286,8tBLYs7Ez5
135,371,W75
255,464,YZDvB
116,290,WYP7MUbK6o
249,80,P
111,253,GDAW
96,421,pdrQ5
284,416,AHuGzDp
203,257,Qe93l
99,458,j21mHOtlFL
221,185,AFye
113,249,puEV7B
217,244,yq4YVC7
