Customer,Country
47,326
36,107
25,338
59,127
67,272
86,198
98,62
66,118
20,486
135,64
104,206
1,487
110,83
12,287
145,27
118,38
43,86
55,350
28,119
104,54
28,341
108,403
29,320
104,376
146,445
133,331
66,130
78,37
21,25
24,473
85,290
61,190
111,228
107,410
5,253
48,274
106,224
145,103
43,267
90,7
108,101
35,127
97,470
22,229
19,177
90,287
107,45
86,389
35,433
48,137
106,350
8,122
105,53
91,158
91,64
67,465
126,165
96,328
132,346
109,488
67,146
19,42
28,17
54,218
114,75
54,402
8,337
142,139
73,41
54,469
107,37
89,367
30,392
69,383
25,170
95,393
141,259
102,272
6,114
103,128
74,55
19,124
71,112
133,393
97,279
87,357
55,131
72,69
116,496
81,384
117,233
116,59
95,258
28,297
51,189
134,243
110,27
75,422
79,91
37,196
13,378
138,334
100,371
107,305
24,376
149,17
76,254
11,26
91,457
71,40
122,117
89,213
118,7
137,109
4,326
133,249
46,99
129,215
32,151
34,142
58,185
134,231
32,405
34,273
0,410
74,440
84,369
20,203
44,68
46,427
72,60
76,389
12,413
79,239
43,245
86,6
89,184
92,93
39,299
26,13
84,449
146,477
35,392
8,368
58,183
56,431
63,250
51,228
30,277
127,178
11,324
107,433
109,111
132,383
26,170
41,490
117,13
118,41
81,256
131,61
144,151
92,378
96,331
68,475
66,410
128,194
78,57
14,452
139,206
146,267
49,368
66,101
11,50
142,463
122,147
93,138
96,438
13,464
85,146
90,452
27,64
118,137
25,114
98,187
144,470
80,479
105,265
95,420
88,293
102,471
72,482
50,382
126,29
145,467
23,56
95,494
17,344
104,471
15,146
139,494
124,476
75,8
39,98
62,176
84,416
134,358
130,351
55,107
9,317
138,292
60,435
47,335
43,463
104,416
46,133
141,324
130,43
110,333
134,376
94,61
25,144
35,421
112,200
100,489
131,216
98,441
113,256
103,355
16,443
76,287
108,497
41,40
22,389
121,71
118,178
120,266
71,472
12,361
3,345
43,199
108,419
49,337
112,299
15,9
29,445
124,362
113,304
21,92
22,259
72,273
137,164
110,205
112,38
88,369
11,293
82,137
107,421
58,419
17,81
92,55
111,308
117,99
55,252
127,191
119,92
101,117
117,252
38,321
7,259
106,354
93,397
95,324
66,221
136,55
29,473
51,200
109,406
87,416
55,264
109,253
16,159
143,301
25,400
34,321
17,369
95,446
73,90
4,104
128,153
40,23
26,391
59,482
38,362
1,82
70,228
66,209
142,264
103,353
77,188
38,390
110,149
3,169
60,140
32,75
35,265
85,114
90,458
64,204
107,493
5,243
121,273
34,246
43,336
138,291
64,281
13,85
85,340
47,48
7,393
0,13
84,324
105,141
78,70
52,94
87,131
50,242
73,201
84,464
6,385
101,26
110,175
117,439
149,328
79,490
10,407
71,225
149,101
64,221
48,126
144,422
147,469
80,331
117,101
115,326
19,74
58,257
90,151
138,302
115,137
16,250
38,20
80,307
81,152
53,307
81,381
98,462
116,337
116,81
105,457
41,138
91,345
54,430
38,217
10,57
13,189
144,286
25,22
48,459
20,173
12,185
52,390
142,383
33,195
105,202
92,72
66,53
108,423
138,119
8,245
32,379
111,154
116,74
87,105
147,114
144,357
5,26
1,404
24,105
82,160
37,117
67,175
38,306
70,336
71,371
90,474
16,295
37,424
141,127
102,274
92,285
147,446
80,239
100,394
22,236
20,139
110,247
22,479
116,283
102,220
67,141
30,248
147,305
19,63
74,42
137,323
118,6
40,452
61,303
14,223
37,203
22,423
129,27
43,390
17,184
3,210
93,405
76,395
2,83
62,148
29,28
64,6
108,136
35,44
8,186
76,480
112,74
135,312
63,418
11,433
26,308
55,58
92,240
74,220
34,495
149,400
87,335
138,64
117,484
119,333
1,57
54,303
16,376
46,123
127,261
140,466
120,129
75,184
12,233
144,176
130,205
130,56
145,32
30,462
22,79
16,195
20,85
71,181
89,393
128,379
73,479
142,447
98,453
44,233
128,134
84,256
47,195
146,382
53,171
129,462
79,191
6,103
123,64
64,219
113,276
58,215
93,1
64,72
113,63
59,63
65,271
123,495
138,207
68,65
11,448
38,28
51,14
4,293
141,238
102,322
61,431
