Customer,Country
51,232
26,207
72,244
109,81
57,323
135,438
57,154
91,5
86,291
16,156
118,277
140,316
128,291
142,395
61,282
141,107
39,379
72,27
110,111
116,243
65,15
109,123
35,259
146,333
87,1
10,112
75,74
25,199
73,474
58,168
126,0
42,428
53,87
88,470
115,192
62,111
142,324
73,63
25,15
54,17
2,49
94,211
126,414
26,442
6,452
100,307
136,426
79,85
17,228
114,29
94,194
100,339
1,76
15,297
45,224
51,452
115,386
6,380
94,432
115,443
106,487
45,192
123,291
145,258
71,286
107,402
129,125
140,300
79,333
11,299
47,498
74,427
149,498
99,286
93,32
95,297
74,448
33,102
31,285
137,373
101,176
111,329
86,364
3,205
44,304
77,276
92,178
114,52
83,87
70,414
113,294
76,327
114,396
28,4
29,35
11,375
139,90
123,321
122,465
99,302
138,274
92,456
26,106
27,272
144,458
70,360
93,160
12,438
47,490
3,143
53,74
106,16
147,30
74,494
51,475
33,420
126,58
86,280
55,379
66,438
94,459
74,351
104,328
68,223
116,382
94,376
19,169
4,394
29,263
130,460
34,40
10,23
31,143
77,78
110,207
65,258
95,266
2,136
3,109
63,208
24,218
17,52
29,27
106,257
140,59
28,475
88,453
36,422
103,397
114,223
5,15
126,376
122,0
87,34
17,486
110,158
55,128
142,444
33,57
66,138
104,52
139,195
127,191
146,320
142,424
29,440
55,175
21,159
70,199
104,430
16,43
128,367
68,150
85,237
71,262
30,66
78,430
149,420
82,237
114,465
89,435
83,114
117,140
6,469
117,144
73,278
28,182
2,411
119,405
121,349
82,348
3,17
16,2
94,329
5,438
65,438
27,447
106,284
129,215
36,361
7,236
40,477
12,43
109,366
23,110
34,147
18,82
30,137
58,426
45,281
101,494
19,240
107,100
10,27
60,269
45,374
123,159
125,131
137,105
88,226
47,87
55,74
13,401
54,35
101,243
146,139
109,6
26,187
51,186
117,118
2,179
14,42
59,441
97,240
0,9
5,174
24,359
20,42
108,121
31,488
130,449
137,60
148,253
24,75
43,422
44,72
61,80
21,32
125,68
61,329
84,344
71,115
65,211
126,257
52,17
4,330
112,241
38,398
64,494
76,410
139,142
110,289
93,57
71,275
77,28
128,61
127,415
139,227
15,153
35,283
42,230
74,23
96,34
1,113
92,127
60,382
142,159
102,26
44,235
29,91
47,241
83,495
97,161
23,214
48,493
24,241
142,55
64,468
67,324
67,355
62,308
77,480
37,182
74,102
27,258
87,31
94,308
58,368
66,28
93,497
78,52
103,368
0,389
0,493
93,377
69,111
127,127
95,37
28,196
105,39
50,447
34,309
10,73
98,446
15,260
107,468
139,178
50,153
87,278
83,44
2,156
6,331
108,416
25,316
25,296
71,276
31,12
58,450
102,47
114,196
3,150
111,11
81,222
144,317
16,366
107,65
148,327
76,215
136,156
110,120
46,391
4,321
58,244
0,96
60,450
98,387
100,17
90,252
0,258
2,52
83,342
70,437
124,101
31,408
122,12
117,289
130,437
64,118
42,478
99,146
78,392
57,401
73,366
29,46
121,363
52,356
58,478
53,123
27,385
71,410
134,58
121,105
75,184
4,349
139,442
34,491
6,85
145,124
28,350
28,467
70,19
110,451
106,498
48,411
18,285
1,120
14,166
5,162
23,81
134,155
12,386
87,128
131,326
100,177
54,146
127,77
123,283
64,69
143,324
58,190
111,287
134,314
113,408
27,387
55,349
19,171
43,20
1,286
66,305
9,83
112,58
138,226
77,386
74,317
44,301
109,11
18,25
137,480
141,7
69,315
5,161
26,419
122,461
114,328
147,356
106,46
140,396
131,302
134,96
43,427
109,216
124,0
101,388
17,128
3,196
148,267
68,128
0,296
43,445
5,392
122,477
149,387
73,213
67,342
36,434
17,466
64,201
59,435
10,312
57,61
129,187
75,7
107,440
97,233
26,23
145,216
104,94
106,168
113,84
138,217
10,277
8,364
75,151
46,253
5,361
112,403
124,458
3,256
91,133
67,256
129,387
78,355
43,104
44,139
12,29
68,118
131,309
105,123
132,314
88,3
34,331
117,254
102,407
55,489
14,183
21,236
102,426
108,264
62,14
26,208
112,191
92,152
142,364
116,312
1,318
40,232
137,422
77,61
44,134
140,403
