Security,Country
222,439
241,80
352,346
438,273
263,370
497,140
333,169
400,73
219,359
274,383
432,411
294,184
67,450
27,424
253,449
436,55
495,295
351,235
80,499
16,192
287,411
444,121
384,123
93,195
368,411
280,349
230,305
345,105
385,121
385,135
410,69
499,159
422,191
383,321
383,121
137,356
7,99
195,306
263,190
27,347
221,228
159,85
58,234
341,476
235,118
270,53
247,285
465,0
471,159
232,282
342,66
345,30
100,17
202,468
295,211
461,387
479,211
245,379
1,22
72,327
53,102
22,239
305,274
438,149
7,292
23,27
350,138
242,287
426,492
97,435
276,477
86,349
101,270
368,392
152,229
454,164
28,12
358,198
462,80
314,36
5,128
368,267
100,375
208,441
39,393
57,285
154,239
283,490
205,99
209,373
363,417
384,85
457,111
385,308
70,35
183,416
26,155
200,452
76,117
206,41
286,468
52,217
146,410
161,284
427,287
251,465
432,121
129,6
118,284
193,474
276,263
338,59
477,376
159,201
222,177
7,74
486,477
352,53
45,344
266,175
144,180
103,19
218,256
417,361
179,79
46,274
472,240
54,215
433,388
30,103
121,301
53,192
4,317
465,160
1,355
150,357
372,292
494,480
195,154
120,66
387,72
449,457
310,168
272,129
341,439
375,117
14,175
452,267
345,349
230,452
405,249
297,49
16,394
141,142
362,195
391,426
282,481
93,133
90,32
21,378
321,467
139,85
93,305
308,260
316,406
10,36
221,455
96,99
32,18
71,434
200,371
478,439
40,216
170,301
6,469
0,226
113,102
382,64
134,54
354,68
404,22
433,105
224,15
186,401
289,207
348,465
19,466
444,359
356,37
32,107
301,366
140,106
433,475
313,313
482,185
217,252
381,380
99,167
313,320
245,165
31,402
235,229
142,244
257,182
267,129
13,312
197,324
244,462
195,328
82,396
363,342
325,431
238,173
495,488
104,17
477,426
147,375
35,178
455,251
283,417
185,12
484,185
153,57
140,62
15,293
350,462
18,482
219,479
287,359
478,65
184,183
164,344
475,251
338,212
380,357
26,325
354,52
489,139
312,191
261,434
175,103
48,373
416,261
259,7
422,325
336,467
375,137
22,304
90,30
58,338
111,140
478,341
331,153
69,366
450,493
488,249
4,329
121,319
369,41
474,147
461,41
95,90
58,459
499,432
398,179
195,485
438,18
367,367
197,341
486,499
151,271
435,463
465,30
445,219
82,89
486,482
423,311
26,418
473,388
373,460
341,251
57,16
271,59
384,165
151,376
292,368
400,134
359,59
357,1
144,97
140,44
131,158
27,420
51,262
158,309
66,417
166,32
358,142
413,475
285,204
117,392
26,276
38,204
261,312
102,475
75,61
262,409
403,154
206,332
48,401
484,53
87,265
65,473
494,157
24,71
168,153
480,453
355,78
306,296
328,350
60,455
446,253
366,141
338,36
82,348
225,161
288,407
178,59
275,75
123,176
331,271
37,33
64,482
376,164
146,0
252,298
267,321
169,187
212,125
465,447
309,489
388,263
243,73
243,378
182,229
414,479
311,359
336,359
448,75
461,150
459,279
105,89
400,323
114,173
444,38
462,484
312,477
378,263
455,385
242,137
476,390
159,439
366,486
364,279
244,85
311,378
155,72
125,174
348,441
459,29
29,483
250,266
28,497
391,273
232,182
279,36
184,35
159,373
112,209
66,432
303,33
54,484
267,32
82,242
149,107
493,28
96,252
356,334
251,180
89,461
1,177
232,451
245,111
488,472
329,259
202,495
396,85
388,471
28,133
358,191
193,101
224,51
349,496
57,391
356,94
168,186
181,455
312,432
442,132
254,153
369,131
407,130
237,221
77,445
46,53
369,386
362,97
149,334
426,409
48,251
408,346
176,415
183,5
485,197
196,412
362,63
81,79
264,427
17,479
396,51
106,41
402,437
313,6
230,263
18,204
92,163
138,358
309,209
282,96
17,477
308,139
41,48
361,494
480,159
54,177
42,81
475,455
427,124
188,139
462,109
289,374
157,366
68,342
280,274
237,395
256,499
206,361
467,313
158,71
65,75
88,202
178,232
196,290
27,365
490,86
159,377
390,97
29,241
442,320
452,413
75,302
441,332
326,25
2,273
58,357
418,302
241,157
438,105
230,270
281,310
73,143
491,198
98,360
368,499
137,210
67,412
481,230
37,427
68,179
248,156
242,22
156,354
90,429
10,59
360,448
487,350
386,415
231,431
233,488
264,405
