Trade_execution,Product
123,497
113,174
393,291
379,109
186,313
32,294
188,362
461,87
431,4
1,315
281,444
245,73
152,118
44,485
241,372
350,450
94,239
5,421
420,495
240,369
408,488
92,390
496,428
356,239
141,399
96,19
311,153
1,358
434,329
397,352
492,57
440,11
4,329
393,133
193,417
27,438
9,178
87,163
79,472
70,484
39,237
64,171
245,88
111,149
304,318
15,346
133,171
139,478
218,76
30,380
425,370
207,358
161,17
139,435
62,390
487,112
444,327
277,298
312,384
114,262
406,215
68,282
430,34
338,339
352,188
103,342
107,34
463,425
499,421
67,289
437,417
122,100
343,497
110,422
75,120
419,80
258,251
243,286
230,369
269,418
475,430
427,212
175,282
325,81
332,401
21,219
338,402
109,349
438,475
273,21
131,379
428,113
459,282
350,349
184,175
194,116
303,42
300,184
394,145
6,299
154,156
439,176
376,117
82,15
435,283
215,94
72,394
455,429
171,418
113,376
473,153
368,275
407,275
320,51
387,21
100,332
143,10
410,492
2,211
79,145
35,322
321,282
207,347
382,172
186,97
362,453
150,171
323,64
372,24
400,112
137,91
101,33
14,191
453,262
259,256
428,318
304,325
465,254
333,54
406,216
93,458
400,237
446,41
401,370
265,362
82,330
200,217
234,458
22,387
470,312
22,498
206,256
322,33
397,126
341,188
238,249
101,219
461,174
157,261
146,195
449,390
249,130
298,289
101,111
435,119
224,53
111,335
424,175
273,56
234,365
367,273
475,243
119,78
143,88
454,101
306,358
328,310
462,197
47,350
268,178
361,214
359,150
93,170
225,15
384,102
348,209
274,496
124,232
32,365
413,408
18,351
332,123
25,314
262,82
294,174
486,368
409,34
42,447
339,60
458,263
94,122
361,120
410,118
298,398
494,440
295,443
448,89
72,323
194,125
77,55
70,34
226,459
225,7
104,231
121,359
157,78
267,370
56,265
496,257
283,37
366,6
100,295
303,169
333,393
100,303
175,174
92,293
154,203
253,460
324,392
281,417
371,72
265,100
37,165
399,437
291,497
16,189
124,70
361,429
453,308
482,382
256,486
299,359
356,110
9,434
453,195
190,13
10,400
12,483
449,25
463,410
469,90
270,348
4,485
384,77
311,486
266,37
444,297
113,323
460,98
126,70
484,163
62,353
481,130
487,37
91,219
128,188
205,82
285,190
427,417
366,484
433,215
236,97
492,287
460,30
56,302
247,115
432,330
118,27
179,154
284,423
96,291
238,51
146,61
488,326
267,340
79,150
146,23
141,5
31,258
384,356
276,483
20,278
108,169
293,197
54,112
48,279
1,192
194,427
136,370
189,282
232,327
375,153
274,10
103,394
223,48
265,216
58,462
398,369
189,68
223,169
497,332
485,99
47,368
144,203
157,459
399,404
44,251
323,266
100,269
357,375
463,206
294,283
468,439
39,106
34,127
106,408
14,189
190,308
27,453
372,353
464,188
61,101
225,155
210,332
300,370
279,140
301,236
79,372
413,202
13,27
494,323
464,421
284,12
231,136
295,411
307,389
471,25
103,450
304,271
304,106
406,263
125,333
433,443
378,465
104,366
361,230
260,447
390,175
334,131
298,92
383,458
423,97
255,391
218,70
11,124
436,102
455,105
65,30
54,197
159,158
264,439
119,334
56,218
386,445
368,385
48,408
239,156
14,475
0,469
89,66
143,251
290,160
163,179
36,181
311,94
476,130
311,138
159,126
152,373
121,294
447,77
349,235
427,3
148,202
23,419
258,192
417,186
16,29
389,347
140,270
315,66
203,10
448,202
11,35
249,435
107,61
235,113
299,262
208,372
181,301
86,235
189,126
461,202
29,301
102,484
52,171
6,214
95,351
475,154
230,102
349,182
14,391
210,293
129,459
224,50
474,429
304,125
272,246
137,458
236,55
428,450
31,59
275,242
2,346
55,39
350,119
333,10
44,143
152,96
263,357
157,391
194,341
426,55
110,74
126,16
189,381
454,403
223,14
59,498
383,64
460,59
81,275
204,326
211,45
174,307
158,114
426,482
169,99
123,360
327,282
156,499
495,20
120,270
120,261
313,402
152,148
405,379
315,421
341,404
225,49
290,425
263,143
110,55
100,293
96,202
191,469
40,290
99,212
406,39
126,390
289,96
483,149
372,485
485,490
120,161
198,151
361,12
54,45
368,51
451,37
45,74
134,127
224,137
292,158
312,183
474,180
93,311
98,173
276,226
