Trade_execution,Security
31,117
431,363
403,258
92,216
398,65
499,126
274,65
275,313
468,393
131,83
428,404
398,359
413,35
272,128
314,41
84,86
291,241
177,46
458,384
410,42
125,2
391,300
128,163
418,486
276,41
383,376
53,309
412,454
231,205
462,451
101,206
168,332
167,18
226,421
218,194
422,327
19,163
92,154
135,233
119,358
335,481
45,251
36,380
247,98
347,438
278,76
270,335
431,279
278,38
81,437
199,62
368,89
289,205
332,280
134,84
371,205
206,367
380,396
21,488
488,89
286,399
65,147
172,166
449,438
2,230
203,208
436,458
164,38
194,275
68,103
21,357
56,164
277,96
55,269
321,399
492,113
288,394
87,213
33,433
436,310
130,129
375,11
25,165
421,427
265,381
255,280
148,134
362,270
268,244
337,83
177,487
236,159
341,182
355,228
108,149
140,288
196,333
461,286
30,257
118,380
231,250
183,459
331,390
310,440
382,314
89,454
45,105
151,223
271,158
40,305
478,88
457,164
161,225
184,369
23,497
150,115
319,224
292,396
171,311
194,274
439,202
82,93
161,290
201,168
22,175
309,144
374,220
291,257
190,322
37,354
473,12
395,357
326,324
407,445
381,374
383,333
234,1
287,471
229,493
295,79
341,240
330,257
444,59
386,26
361,28
84,221
114,141
469,428
473,249
273,146
325,290
370,40
175,499
177,424
445,306
450,289
211,156
384,475
14,85
279,457
439,86
483,131
124,375
281,203
354,199
380,13
372,221
309,439
409,91
338,3
218,479
40,392
491,491
373,333
453,399
314,186
17,255
355,416
444,278
197,149
496,466
127,56
312,441
91,330
339,413
57,401
18,74
305,222
469,11
198,61
140,307
473,409
452,296
380,453
297,127
239,485
452,44
402,124
37,57
398,199
437,217
146,493
409,120
19,118
406,124
37,457
98,394
368,333
127,28
45,224
463,360
293,121
493,312
154,498
389,346
115,3
7,459
440,77
121,266
449,38
447,421
467,393
217,348
342,164
118,418
414,481
183,408
227,125
70,374
186,122
314,256
23,123
427,69
414,346
112,141
121,354
3,88
374,185
48,358
373,445
412,398
361,484
188,233
244,177
497,302
106,27
297,114
151,497
440,432
19,447
191,167
375,428
392,178
97,324
99,176
258,231
332,195
113,484
350,203
118,336
387,100
112,128
233,123
81,8
221,226
107,62
102,133
472,482
477,433
95,331
50,164
168,207
200,76
212,429
237,285
455,242
74,222
223,129
460,414
462,395
160,472
463,371
258,23
423,17
194,267
321,258
306,414
173,365
156,341
359,184
484,236
484,413
249,87
64,116
400,85
25,437
309,183
399,446
333,280
231,251
392,472
338,198
306,333
447,242
333,272
409,499
434,288
180,176
93,243
481,137
72,495
188,235
214,331
72,169
272,450
288,148
321,105
48,260
161,38
404,494
339,202
76,422
215,407
13,180
99,117
144,242
147,125
73,217
346,468
384,493
83,291
286,199
205,62
18,26
372,185
92,495
120,184
272,278
394,386
300,7
461,208
306,105
304,377
376,67
315,317
454,418
173,71
191,463
150,45
422,377
449,393
22,121
475,314
338,254
221,166
32,384
153,319
232,461
41,467
348,441
197,109
228,78
348,131
58,33
265,94
121,173
361,375
278,443
430,281
131,455
409,276
453,89
355,493
405,428
211,338
494,48
454,295
81,188
461,277
148,102
218,17
58,113
442,184
85,278
385,154
415,251
168,229
78,25
259,471
481,493
479,170
354,351
112,294
449,118
244,235
59,333
244,448
337,158
33,474
354,147
138,192
68,163
9,468
322,324
426,337
218,7
195,389
396,318
177,303
311,279
175,148
472,486
338,11
299,197
353,15
204,465
149,363
228,140
488,497
245,362
475,391
374,41
497,405
428,454
237,63
375,205
44,267
394,34
391,209
340,194
481,45
498,432
461,466
462,414
213,337
347,328
245,290
380,463
143,399
166,376
36,230
355,429
31,252
411,314
67,464
150,196
362,164
319,94
127,259
327,209
256,180
159,359
205,480
286,340
225,224
216,372
187,148
392,465
228,386
98,387
182,96
483,275
372,125
476,120
388,399
387,436
287,130
389,119
78,440
368,69
298,492
156,473
130,320
214,440
147,219
107,243
385,38
81,119
245,391
246,110
303,183
248,246
74,214
19,376
128,63
481,482
365,274
454,268
407,365
358,347
273,433
63,318
125,207
452,260
376,191
229,120
364,384
18,153
62,119
154,258
