Back_Office_Transaction,Security
477,441
387,483
219,460
284,473
39,277
402,43
120,249
105,302
481,183
0,447
105,394
465,343
469,417
134,218
405,447
230,152
409,267
184,54
482,72
114,157
306,183
354,435
458,33
240,65
238,253
443,171
169,353
395,393
351,175
161,14
190,22
7,331
26,496
2,87
219,78
337,388
358,329
370,186
194,427
356,416
249,272
137,349
200,390
334,31
485,268
295,252
226,249
257,8
338,239
405,251
48,87
374,336
451,320
301,377
61,213
437,86
412,58
100,129
30,489
223,241
138,346
44,372
13,392
407,334
473,23
413,496
429,471
229,157
285,119
272,412
390,383
42,79
21,245
482,76
154,196
118,465
48,38
232,458
131,132
398,199
482,171
135,85
421,224
105,296
183,79
30,171
121,219
148,425
404,475
283,422
429,496
122,165
357,235
93,107
422,497
352,265
188,138
470,268
324,309
408,422
355,258
192,136
86,493
477,276
14,50
33,243
47,355
477,123
315,72
211,228
360,43
261,252
59,135
181,300
45,297
120,176
347,24
61,242
347,40
333,102
440,120
320,104
247,38
120,165
173,145
283,134
217,364
178,370
360,278
391,325
482,301
392,284
72,245
291,233
98,473
5,171
415,438
196,191
323,149
132,203
343,478
24,68
34,289
9,104
489,440
94,240
486,68
284,188
113,256
193,389
213,239
210,330
196,385
16,290
322,17
259,50
211,346
365,285
50,414
224,137
61,289
447,461
317,268
167,487
463,187
169,487
168,263
464,264
208,371
251,210
334,93
380,7
478,426
360,161
139,331
338,311
208,447
324,177
157,4
99,411
337,348
337,161
462,261
164,34
394,126
71,310
150,426
463,245
94,173
442,82
7,310
488,408
425,148
458,479
301,376
65,355
55,489
67,23
298,483
307,134
288,33
111,393
329,254
186,120
231,240
26,459
280,203
46,483
309,218
127,87
12,211
435,248
402,384
14,175
79,277
270,381
105,74
253,341
497,316
454,96
328,443
401,428
45,68
426,136
138,76
276,72
196,276
376,74
453,109
384,122
142,417
366,329
204,200
69,113
467,433
388,80
427,420
467,266
481,211
298,243
191,75
266,321
12,237
365,96
83,282
142,46
110,236
155,233
413,76
237,389
280,457
374,222
249,177
349,23
239,318
145,271
152,165
185,447
143,488
319,410
28,382
387,14
77,470
102,34
38,392
372,138
261,347
0,267
2,175
269,363
397,458
480,217
185,130
247,128
103,272
217,476
308,245
171,471
388,78
499,67
284,278
404,211
421,309
21,204
158,62
167,6
236,218
273,435
492,314
61,468
494,56
457,23
124,156
203,479
318,397
384,426
344,52
44,184
255,209
431,478
426,350
32,195
148,187
488,139
498,246
281,136
121,71
43,235
203,279
178,477
176,264
333,204
111,286
135,151
224,280
49,429
247,470
144,325
269,128
215,288
202,232
482,253
317,183
415,143
353,108
91,121
251,176
285,162
403,483
469,201
194,71
185,70
53,434
294,68
420,188
431,72
478,219
256,405
443,166
197,225
113,221
23,298
309,389
251,490
164,90
24,124
106,491
161,365
235,4
31,437
48,450
182,81
429,494
257,326
236,178
79,397
287,197
279,28
420,114
190,399
405,290
172,161
224,1
263,449
364,342
426,496
118,157
446,178
386,443
142,429
453,21
473,447
103,69
314,330
17,167
298,253
117,39
402,73
355,207
146,123
123,270
120,52
266,92
382,332
235,405
55,483
497,296
461,90
40,284
13,374
380,243
464,435
215,469
420,491
118,18
405,110
83,192
383,194
401,398
176,62
58,119
74,45
84,73
64,247
154,39
347,165
126,248
378,268
173,431
4,134
241,365
354,359
451,426
358,125
276,237
497,391
372,237
104,37
364,231
68,266
237,87
51,454
328,376
75,90
2,310
329,247
356,493
384,42
414,382
406,77
18,328
326,400
299,372
154,172
366,222
112,186
37,48
356,124
320,490
327,156
28,380
21,367
89,210
26,371
323,131
94,354
27,305
50,320
83,39
341,310
83,118
37,410
138,222
195,417
418,396
225,467
475,202
223,111
290,131
493,434
460,42
491,149
1,311
4,98
465,250
272,118
477,298
411,137
233,469
216,245
426,55
288,239
351,285
467,80
111,172
230,195
40,214
65,40
240,313
101,348
79,164
98,152
58,300
256,28
316,400
346,161
494,324
347,73
209,340
355,46
115,476
134,427
385,103
187,215
286,133
293,87
142,260
138,41
206,134
395,103
